                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1984,                 3.2688,                 1.5902,                0.51683,                0.23364,                0.12278,                0.03523,                 2.9747,                  9.331,                 2.5574,             0.00046735,             0.00046735,             0.00046735
                      2,                 1.6589,                 1.4221,                 1.2334,                0.74742,                0.69448,                0.78018,                0.35227,                 1.8441,                 1.5966,                 1.3744,             0.00093434,             0.00093434,             0.00093434
                      3,                  1.664,                 1.3487,                 1.2349,                0.73752,                  0.704,                0.73449,                0.32268,                 1.8594,                 1.3402,                  1.333,              0.0013919,              0.0013919,              0.0013919
                      4,                 1.6178,                 1.2731,                 1.2066,                0.49291,                0.70476,                0.52401,                0.20166,                 2.3086,                  1.686,                 1.2464,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.5805,                  1.191,                 1.2085,                 0.8644,                0.92578,                0.93944,                0.46896,                 1.5808,                 1.0796,                 1.0579,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.5212,                 1.1163,                 1.1563,                0.86781,                0.90652,                0.94168,                0.48269,                 1.5744,                 1.0701,                 1.0734,              0.0013724,              0.0013724,              0.0013724
                      7,                  1.531,                 1.0964,                 1.1603,                0.77523,                0.87567,                0.83653,                0.44209,                 1.4931,                  1.157,                0.99608,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.4567,                 1.0341,                  1.136,                0.94374,                0.95148,                0.97986,                0.54648,                 1.3491,                0.85561,                0.95156,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.4535,                 1.0545,                  1.128,                0.94665,                0.94946,                0.98576,                0.52471,                 1.4777,                0.92217,                 0.9712,                0.00133,                0.00133,                0.00133
                     10,                 1.4081,                 1.0092,                  1.104,                0.95557,                0.97154,                0.98029,                0.52522,                 1.4631,                0.85405,                0.95554,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.4235,                 1.0019,                 1.1101,                0.95195,                0.95762,                0.97856,                0.52913,                 1.4565,                0.83821,                0.97649,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.4056,                 1.0026,                 1.1019,                0.91888,                0.94961,                0.97274,                0.52176,                 1.4248,                0.83366,                0.93771,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.3924,                0.99001,                  1.096,                0.94497,                0.97737,                0.97559,                 0.5403,                 1.3331,                0.86524,                 0.9133,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.3747,                0.94949,                 1.0985,                0.93699,                0.97292,                0.97805,                0.55657,                 1.3268,                0.82452,                0.93706,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.3636,                0.91775,                 1.0883,                0.96206,                0.97126,                0.98272,                0.56711,                 1.3348,                0.78038,                0.94375,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.3657,                0.94891,                 1.0892,                0.83439,                0.86154,                0.86728,                0.46483,                 1.5394,                 0.9956,                0.97466,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.3686,                0.94448,                 1.0938,                0.94426,                0.93738,                0.98043,                0.56584,                 1.3261,                0.83416,                0.93073,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.3408,                0.92573,                 1.0763,                0.96862,                0.94087,                0.98281,                0.55109,                 1.3227,                0.85942,                0.92346,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.3548,                0.93857,                 1.0846,                0.96301,                0.95168,                0.97686,                0.55299,                 1.3317,                0.81672,                0.91841,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.3239,                0.89996,                 1.0656,                0.96011,                0.95824,                 0.9729,                0.51633,                 1.4353,                0.80898,                0.93751,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.3244,                0.90694,                 1.0644,                0.95739,                0.94474,                0.98359,                0.57188,                 1.2937,                  0.802,                0.91162,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.3125,                  0.901,                 1.0622,                0.97235,                0.97795,                0.98775,                0.56122,                 1.3159,                0.77347,                0.90235,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.3292,                0.89407,                 1.0758,                0.96353,                0.95909,                 0.9863,                0.55446,                 1.3685,                0.82118,                0.92694,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.3207,                0.89465,                  1.066,                0.98554,                0.96491,                0.98688,                0.56589,                 1.3045,                0.77294,                0.89941,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.2804,                 0.8705,                 1.0478,                0.97913,                0.97275,                 0.9846,                0.56386,                 1.2989,                0.77296,                0.90874,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.2892,                0.86236,                 1.0463,                0.96307,                0.97321,                0.97114,                0.56794,                 1.2401,                0.79447,                0.91061,              0.0010895,              0.0010895,              0.0010895
                     27,                 1.2775,                0.85861,                 1.0332,                0.98068,                0.97997,                0.98683,                0.56172,                 1.2719,                0.78941,                0.90908,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.2851,                0.85832,                 1.0418,                0.97604,                0.98458,                0.99239,                 0.5882,                  1.275,                0.75398,                0.90389,              0.0010612,              0.0010612,              0.0010612
                     29,                 1.2769,                0.85074,                 1.0535,                0.97857,                0.96778,                 0.9828,                0.56948,                 1.3132,                0.73191,                0.92243,               0.001047,               0.001047,               0.001047
                     30,                 1.2712,                0.83764,                 1.0492,                0.96292,                0.96345,                0.98769,                0.58567,                 1.2712,                0.78463,                0.90325,              0.0010329,              0.0010329,              0.0010329
                     31,                 1.2641,                0.84285,                 1.0456,                0.96769,                0.96642,                0.98693,                0.56729,                 1.2851,                0.78684,                0.90954,              0.0010187,              0.0010187,              0.0010187
                     32,                 1.2595,                0.84877,                 1.0358,                0.98578,                0.97118,                0.99023,                0.57853,                 1.2495,                0.76127,                0.88524,              0.0010046,              0.0010046,              0.0010046
                     33,                 1.2391,                0.84442,                 1.0374,                0.98798,                0.97747,                0.98935,                0.58126,                 1.3004,                 0.7363,                0.90778,             0.00099044,             0.00099044,             0.00099044
                     34,                 1.2497,                0.82069,                 1.0347,                0.97378,                0.97587,                0.99042,                0.57941,                  1.342,                 0.7909,                0.90884,             0.00097629,             0.00097629,             0.00097629
                     35,                 1.2207,                0.81572,                 1.0268,                 0.9807,                0.98613,                0.99163,                0.59407,                 1.2282,                0.72888,                0.88988,             0.00096215,             0.00096215,             0.00096215
                     36,                 1.2298,                0.79968,                 1.0318,                0.93236,                0.96649,                0.96203,                0.55816,                  1.289,                0.76935,                0.89649,               0.000948,               0.000948,               0.000948
                     37,                 1.2173,                0.80756,                 1.0284,                0.98716,                 0.9857,                0.99234,                0.58251,                 1.2325,                0.73897,                0.90512,             0.00093385,             0.00093385,             0.00093385
                     38,                 1.2257,                0.79693,                  1.033,                 0.9632,                0.97634,                0.98839,                0.59524,                 1.2538,                0.73361,                0.91927,              0.0009197,              0.0009197,              0.0009197
                     39,                 1.1871,                0.77565,                 1.0246,                0.95706,                0.94839,                0.97908,                0.58874,                 1.2552,                0.79967,                0.89503,             0.00090556,             0.00090556,             0.00090556
                     40,                 1.1932,                0.78629,                 1.0153,                 0.9754,                0.96875,                0.98768,                0.58213,                   1.29,                0.75027,                0.88047,             0.00089141,             0.00089141,             0.00089141
                     41,                 1.2301,                0.78299,                 1.0267,                0.97425,                0.98488,                0.99009,                0.58576,                 1.3043,                0.71755,                0.89665,             0.00087726,             0.00087726,             0.00087726
                     42,                 1.2046,                0.78005,                 1.0178,                 0.9421,                0.97452,                0.98435,                0.58541,                 1.2545,                0.71406,                0.89319,             0.00086312,             0.00086312,             0.00086312
                     43,                  1.196,                0.80645,                 1.0096,                0.96893,                0.97485,                 0.9907,                0.59278,                  1.237,                0.72296,                0.90549,             0.00084897,             0.00084897,             0.00084897
                     44,                 1.1882,                0.78629,                 1.0166,                 0.8351,                0.89175,                0.92945,                0.47076,                 1.5596,                0.91072,                0.92971,             0.00083482,             0.00083482,             0.00083482
                     45,                 1.2019,                0.78552,                 1.0116,                0.98937,                0.98157,                 0.9921,                0.59973,                  1.273,                0.69107,                0.89212,             0.00082067,             0.00082067,             0.00082067
                     46,                 1.2011,                0.77062,                 1.0152,                0.97914,                 0.9627,                0.99003,                0.60599,                 1.2347,                0.69406,                0.88853,             0.00080653,             0.00080653,             0.00080653
                     47,                 1.1845,                 0.7646,                 1.0108,                0.97228,                0.98112,                0.98986,                0.58796,                 1.2621,                0.71886,                0.89576,             0.00079238,             0.00079238,             0.00079238
                     48,                 1.1791,                0.75263,                 1.0055,                0.97689,                 0.9771,                0.98643,                0.59044,                 1.2736,                 0.6827,                0.89472,             0.00077823,             0.00077823,             0.00077823
                     49,                 1.1321,                0.73301,                0.99735,                0.97623,                0.95529,                 0.9862,                0.59402,                 1.2359,                0.72608,                0.89761,             0.00076409,             0.00076409,             0.00076409
                     50,                 1.1663,                 0.7321,                 1.0113,                 0.9781,                0.95897,                0.98522,                0.56857,                 1.4007,                0.72785,                  0.912,             0.00074994,             0.00074994,             0.00074994
                     51,                 1.1549,                0.74008,                  1.003,                0.99072,                0.97479,                0.98904,                0.60764,                 1.2055,                0.70767,                0.89407,             0.00073579,             0.00073579,             0.00073579
                     52,                 1.1862,                0.74012,                 1.0147,                0.96292,                0.96403,                0.98407,                0.56995,                 1.2769,                0.74648,                0.90205,             0.00072164,             0.00072164,             0.00072164
                     53,                 1.1483,                0.73067,                 1.0121,                0.97776,                0.96412,                0.98688,                0.58005,                 1.2578,                0.73307,                0.89911,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1457,                0.72593,                 1.0046,                0.96695,                0.98437,                0.98669,                0.59647,                  1.198,                0.73824,                0.88369,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1541,                0.72035,                 1.0061,                0.98378,                0.98217,                0.98892,                0.58879,                 1.2515,                0.73099,                0.89331,              0.0006792,              0.0006792,              0.0006792
                     56,                   1.14,                0.70516,                0.99473,                0.97554,                 0.9775,                0.98518,                0.59316,                  1.224,                0.69552,                0.88841,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.1649,                0.74664,                 1.0008,                0.98656,                0.98696,                0.98957,                0.59039,                 1.2557,                0.71954,                0.88596,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.1495,                0.74278,                0.98859,                0.95301,                0.96965,                0.98376,                0.59758,                 1.2396,                0.70322,                0.88908,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.1498,                0.70609,                0.99543,                0.97091,                0.97177,                0.98442,                0.55757,                 1.2808,                0.71953,                0.89684,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.1107,                0.69874,                0.98783,                0.98246,                0.98191,                 0.9916,                0.60773,                 1.2094,                0.71138,                0.88956,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.1285,                0.70928,                  1.002,                 0.9905,                0.98378,                0.99222,                0.60951,                  1.204,                0.72942,                0.88069,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.1275,                0.72029,                0.99395,                0.98477,                0.97692,                0.99058,                0.60613,                 1.2491,                0.68229,                0.88787,             0.00058017,             0.00058017,             0.00058017
